,Sold_Date,latitude,longitude,year,quarter,Sold_Price
293,2001-11-02 00:00:00+00:00,-33.71472478,150.31296658,2001,4,477000.0
294,2001-11-09 00:00:00+00:00,-30.29893608,153.10106001,2001,4,207000.0
295,2001-11-13 00:00:00+00:00,-33.82076864,150.99441624,2001,4,265000.0
296,2001-11-27 00:00:00+00:00,-33.90485466,151.06238044,2001,4,320000.0
297,2001-12-11 00:00:00+00:00,-32.95753301,151.6750786,2001,4,65000.0
298,2001-12-19 00:00:00+00:00,-34.01184318,151.01892525,2001,4,333000.0
299,2002-01-09 00:00:00+00:00,-32.20856455,152.52284862,2002,1,257000.0
300,2002-01-17 00:00:00+00:00,-34.01582246,151.07463335,2002,1,487000.0
301,2002-01-25 00:00:00+00:00,-33.95212988,151.08034812,2002,1,302000.0
302,2002-02-04 00:00:00+00:00,-32.92907976,151.75654168,2002,1,545000.0
303,2002-02-12 00:00:00+00:00,-34.04277348,151.02133988,2002,1,385000.0
304,2002-02-19 00:00:00+00:00,-33.73043992,151.29927538,2002,1,369000.0
305,2002-03-27 00:00:00+00:00,-33.80268326,151.18687446,2002,1,885000.0
306,2002-04-08 00:00:00+00:00,-33.76683169,150.78831361,2002,2,265000.0
307,2002-04-27 00:00:00+00:00,-33.26401738,151.54027449,2002,2,503000.0
308,2002-05-05 00:00:00+00:00,-33.73896714,150.64897826,2002,2,25000.0
309,2002-05-06 00:00:00+00:00,-33.776064,150.97787562,2002,2,475000.0
310,2002-05-06 00:00:00+00:00,-33.6866063,150.31099751,2002,2,89000.0
311,2002-05-24 00:00:00+00:00,-33.67888733,150.60366228,2002,2,235000.0
312,2002-06-04 00:00:00+00:00,-35.5341354,144.95528331,2002,2,58000.0
313,2002-07-02 00:00:00+00:00,-32.65390435,152.15125371,2002,3,300000.0
314,2002-07-25 00:00:00+00:00,-33.886772,150.90288592,2002,3,336500.0
315,2002-08-06 00:00:00+00:00,-33.91114986,151.15611513,2002,3,360000.0
316,2002-08-14 00:00:00+00:00,-34.01239825,151.06531313,2002,3,320000.0
317,2002-08-19 00:00:00+00:00,-32.77729465,151.65538175,2002,3,108000.0
318,2002-08-28 00:00:00+00:00,-33.80807826,151.19910965,2002,3,226000.0
319,2002-09-12 00:00:00+00:00,-33.49569947,151.35764896,2002,3,385000.0
320,2002-09-13 00:00:00+00:00,-33.85999171,151.03562819,2002,3,530000.0
